match_api_id,home_win_streak,away_win_streak
653865,0,0
653866,3,1
653869,0,0
653876,0,0
653879,0,0
653881,4,1
653883,0,0
653888,2,1
653889,0,0
653891,0,0
653895,1,3
653896,1,1
653897,0,0
653898,2,4
653899,6,1
653901,1,1
653903,0,0
653905,5,6
653909,0,0
653911,3,3
653915,0,0
653916,1,1
653917,0,0
653919,1,1
653921,0,0
653923,1,2
653926,3,1
653930,0,0
653932,0,0
653934,0,0
653935,0,0
653936,0,0
653937,1,3
653939,1,3
653942,0,0
653944,0,0
653946,1,2
653948,1,2
653950,1,1
653951,0,0
653955,1,1
653956,1,3
653958,0,0
653960,2,2
653963,1,2
653965,1,3
653969,1,1
653971,0,0
653973,2,1
653974,0,0
653975,0,0
653976,0,0
653978,0,0
653980,1,4
653983,1,1
653986,0,0
653988,0,0
653990,0,0
653992,0,0
653994,3,4
653995,1,4
653998,3,1
654000,2,2
654002,0,0
654004,0,0
654007,1,1
654009,0,0
654012,2,1
654013,1,3
654014,1,1
654015,0,0
654018,0,0
654020,0,0
654022,0,0
654024,2,1
654027,0,0
654029,0,0
654031,1,1
654033,2,5
654034,0,0
654035,1,2
654037,0,0
654039,0,0
654040,2,1
654043,0,0
654050,2,3
654051,1,1
654055,0,0
654057,1,1
654059,1,5
654062,1,1
654064,2,1
654067,0,0
654068,0,0
654069,0,0
654070,4,1
654071,2,1
654073,2,1
654076,0,0
654078,2,1
654083,1,1
654085,1,1
654087,0,0
654088,1,2
654089,2,1
654090,0,0
654092,1,1
654094,0,0
654096,4,1
654098,0,0
654100,2,2
654102,1,1
654104,0,0
654106,0,0
654109,0,0
654111,0,0
654114,2,2
654115,0,0
654117,0,0
654119,0,0
654126,0,0
654127,1,1
654128,2,3
654129,0,0
654131,0,0
654133,0,0
654135,0,0
654139,0,0
654141,2,2
654143,0,0
654146,1,2
654147,0,0
654148,0,0
654149,0,0
654151,1,1
654153,2,2
654155,3,1
654157,1,1
654159,4,3
654161,0,0
654165,0,0
654166,1,1
654168,1,1
654169,0,0
654170,0,0
654172,1,1
654174,0,0
654176,1,1
654178,1,1
654180,1,4
654184,0,0
654186,2,1
654188,1,1
654190,1,2
654191,1,1
654192,2,4
654193,0,0
654194,1,1
654197,0,0
654199,2,3
654204,1,2
654206,2,2
654208,0,0
654210,0,0
654211,1,5
654212,0,0
654214,0,0
654216,1,1
654218,1,1
654222,0,0
654226,0,0
654228,5,2
654229,0,0
654230,0,0
654231,4,5
654234,0,0
654236,0,0
654238,1,2
654241,0,0
654243,0,0
654247,0,0
654248,1,2
654249,1,3
654250,0,0
654251,0,0
654252,0,0
654256,0,0
654260,4,2
654262,1,1
654264,0,0
654267,0,0
654268,0,0
654269,0,0
654272,0,0
654274,1,3
654276,2,1
654279,2,1
654282,0,0
654285,0,0
654286,0,0
654297,0,0
654298,0,0
654299,0,0
654301,0,0
654303,3,7
654305,0,0
654307,0,0
654310,0,0
654315,1,2
654316,0,0
654322,2,1
654324,0,0
